---------------------------------- TABELA 1 --------------------------------------

INC = 1000 
FIM = 20000 
STP = 1000 

Tamanho (n)    vDP            tDP            vGreedy        tGreedy        %              
----------------------------------------------------------------------------------
1000           2083           0.082510       2083           0.000134       100.00         
2000           4167           0.283768       4159           0.000456       99.81          
3000           6253           0.642395       6242           0.000955       99.82          
4000           8342           1.157022       8335           0.001676       99.92          
5000           10429          1.954605       10423          0.002623       99.94          
6000           12515          2.650017       12487          0.003703       99.78          
7000           14606          3.614603       14580          0.004841       99.82          
8000           16694          4.670312       16673          0.006273       99.87          
9000           18783          6.030115       18765          0.008160       99.90          
10000          20873          7.917758       20854          0.011166       99.91          
11000          22957          8.988625       22938          0.012037       99.92          
12000          25042          10.546314      25021          0.014275       99.92          
13000          27135          12.318692      27104          0.016640       99.89          
14000          29226          14.231777      29198          0.019205       99.90          
15000          31320          16.445816      31291          0.022293       99.91          
16000          33409          19.355448      33387          0.025354       99.93          
17000          35500          21.160310      35481          0.028243       99.95          
18000          37589          23.738577      37578          0.031814       99.97          
19000          39680          26.266051      39672          0.035313       99.98          
20000          41767          29.359353      41767          0.039015       100.00  
